t,q0x,q0y,q0idle,q1x,q1y,q1idle,q2x,q2y,q2idle,q3x,q3y,q3idle,q4x,q4y,q4idle,q5x,q5y,q5idle,q6x,q6y,q6idle,q7x,q7y,q7idle
0,0,1,0,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,1,0,5,4,0
1,0,1,0,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,1,0,5,4,0
2,0,1,0,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,1,0,5,4,0
3,0,1,0,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,1,0,5,4,0
4,0,1,0,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,1,0,5,4,0
5,1,1,0,1,1,0,2,0,0,3,0,0,4,0,0,5,0,0,6,1,0,5,4,0
6,1,1,0,1,1,0,2,0,0,3,0,0,4,0,0,5,0,0,6,1,0,5,4,0
7,0,1,0,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,1,0,5,4,0
8,0,1,0,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,1,0,5,4,0
9,0,1,0,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,1,0,5,4,0
10,0,1,0,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,1,0,5,4,0
11,1,1,0,1,1,0,2,0,0,3,0,0,4,0,0,5,0,0,6,1,0,5,4,0
12,1,1,0,1,1,0,2,0,0,3,0,0,4,0,0,5,0,0,6,1,0,5,4,0
13,1,2,0,0,1,0,2,0,0,3,0,0,4,0,0,5,0,0,6,1,0,5,4,0
14,1,2,0,0,1,0,2,0,0,3,0,0,4,0,0,5,0,0,6,1,0,5,4,0
15,1,2,0,0,1,0,1,0,0,3,0,0,4,0,0,5,0,0,6,1,0,5,4,0
16,1,2,0,0,1,0,1,0,0,3,0,0,4,0,0,5,0,0,6,1,0,5,4,0
17,1,1,0,0,1,0,1,1,0,3,0,0,4,0,0,5,0,0,6,1,0,5,4,0
18,1,1,0,0,1,0,1,1,0,3,0,0,4,0,0,5,0,0,6,1,0,5,4,0
19,1,2,0,0,1,0,1,0,0,3,0,0,4,0,0,5,0,0,6,1,0,5,4,0
20,1,2,0,0,1,0,1,0,0,3,0,0,4,0,0,5,0,0,6,1,0,5,4,0
21,1,2,0,0,1,0,1,0,0,3,0,0,4,0,0,5,0,0,6,1,0,5,4,0
